Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_geographiques;Departement
77429;ST OUEN SUR MORIN;77750;;ST OUEN SUR MORIN;48.906782736, 3.202147699;77
77439;SALINS;77148;;SALINS;48.431194151, 3.019926486;77
77441;SAMOIS SUR SEINE;77920;;SAMOIS SUR SEINE;48.456916257, 2.752828255;77
77481;VANVILLE;77370;;VANVILLE;48.554680065, 3.115780496;77
78466;ORGEVAL;78630;;ORGEVAL;48.916405619, 1.9695582;78
78470;ORPHIN;78125;;ORPHIN;48.576457697, 1.783195784;78
78575;ST REMY LES CHEVREUSE;78470;;ST REMY LES CHEVREUSE;48.704059438, 2.079135407;78
78588;SAULX MARCHAIS;78650;;SAULX MARCHAIS;48.846044436, 1.837057716;78
78655;VIEILLE EGLISE EN YVELINES;78125;;VIEILLE EGLISE EN YVELINES;48.670107121, 1.874292056;78
78686;VIROFLAY;78220;;VIROFLAY;48.802695909, 2.171317656;78
91148;CHAUFFOUR LES ETRECHY;91580;;CHAUFFOUR LES ETRECHY;48.507449763, 2.168740835;91
92019;CHATENAY MALABRY;92290;;CHATENAY MALABRY;48.768150824, 2.263584321;92
93072;STAINS;93240;;STAINS;48.956644571, 2.384861241;93
94034;FRESNES;94260;;FRESNES;48.757122765, 2.326048877;94
94068;ST MAUR DES FOSSES;94210;LA VARENNE ST HILAIRE;ST MAUR DES FOSSES;48.798824614, 2.494496787;94
95101;BRAY ET LU;95710;;BRAY ET LU;49.142397339, 1.665307669;95
95426;MONTLIGNON;95680;;MONTLIGNON;49.014718031, 2.289839382;95
95446;NESLES LA VALLEE;95690;;NESLES LA VALLEE;49.126847478, 2.172466525;95
95450;NEUVILLE SUR OISE;95000;;NEUVILLE SUR OISE;49.017340379, 2.062268273;95
75116;PARIS 16;75116;;PARIS;48.860373457, 2.261967959;75
77035;BLENNES;77940;;BLENNES;48.244822927, 3.011583089;77
77052;BREAU;77720;;BREAU;48.557440136, 2.878536628;77
77065;CELY;77930;;CELY EN BIERE;48.460003584, 2.526242466;77
77109;CHENOISE CUCHARMOY;77160;CUCHARMOY;CHENOISE CUCHARMOY;48.613352117, 3.189120226;77
77116;CHOISY EN BRIE;77320;;CHOISY EN BRIE;48.765404122, 3.213391053;77
77134;COURCHAMP;77560;;COURCHAMP;48.642233069, 3.290212295;77
77162;DOUE;77510;;DOUE;48.874246158, 3.168661934;77
77242;JUTIGNY;77650;;JUTIGNY;48.494251041, 3.226672556;77
77281;MAUPERTHUIS;77120;;MAUPERTHUIS;48.769360819, 3.039112382;77
77322;MOUSSY LE NEUF;77230;;MOUSSY LE NEUF;49.070151643, 2.607386461;77
77405;ST CYR SUR MORIN;77750;;ST CYR SUR MORIN;48.911962, 3.175071442;77
77409;ST GERMAIN LAVAL;77130;;ST GERMAIN LAVAL;48.40897297, 2.995123038;77
